PLAYERNUMBER,KEEPING,TACKLING,PASSING,SHOOTING,PACE,HEADING,STAMINA,SETPIECES,BALLCONTROL
 3522, 17, 54, 75, 54, 80, 60, 79, 68, 75
 3521, 16, 33, 72, 83, 87, 60, 91, 73, 75
 3523, 15, 69, 45, 27, 74, 58, 66, 47, 48
 3525, 16, 33, 70, 82, 91, 61, 86, 72, 77
 3524, 15, 78, 52, 33, 77, 71, 74, 57, 58
 3527, 73, 30, 32, 14, 72, 32, 66, 45, 31
 3528, 67, 32, 32, 16, 72, 32, 69, 40, 31
 3529, 17, 70, 49, 32, 83, 65, 81, 53, 53
 3531, 77, 33, 31, 17, 72, 31, 71, 43, 31
 3532, 14, 61, 44, 28, 81, 57, 76, 49, 47
 3533, 16, 73, 52, 32, 78, 67, 73, 56, 57
 3534, 19, 84, 56, 56, 81, 70, 78, 61, 59
 3535, 13, 61, 41, 29, 80, 55, 76, 45, 47
 3536, 18, 55, 75, 55, 82, 60, 80, 69, 78
 3537, 18, 32, 53, 79, 92, 69, 94, 68, 69
 3538, 16, 45, 73, 61, 78, 50, 72, 64, 69
 3539, 17, 73, 49, 31, 81, 65, 82, 55, 55
 3540, 18, 89, 61, 37, 83, 76, 82, 63, 64
 3541, 15, 29, 45, 67, 83, 59, 75, 59, 59
 3827, 18, 48, 76, 65, 87, 58, 88, 71, 80
 3542, 17, 77, 54, 31, 82, 71, 76, 58, 60
 3864, 16, 88, 57, 35, 80, 81, 74, 64, 63
 3543, 13, 31, 47, 65, 76, 59, 71, 60, 59
 3544, 17, 77, 54, 33, 82, 68, 80, 57, 60
 3546, 17, 52, 72, 50, 78, 55, 71, 65, 70
 3547, 18, 79, 52, 55, 76, 68, 66, 57, 58
 3549, 15, 49, 85, 73, 82, 61, 75, 78, 83
 3552, 16, 33, 56, 77, 91, 69, 85, 68, 75
 3553, 19, 37, 63, 90, 90, 79, 92, 81, 84
 3551, 17, 84, 60, 37, 82, 75, 81, 63, 63
 3554, 15, 62, 46, 30, 72, 57, 66, 49, 48
 3555, 17, 81, 55, 35, 82, 71, 76, 58, 58
 3556, 16, 68, 77, 48, 72, 60, 71, 73, 75
 3557, 16, 33, 61, 73, 83, 57, 79, 68, 65
 3559, 17, 34, 66, 76, 82, 62, 73, 69, 68
 3561, 16, 32, 68, 79, 84, 61, 78, 70, 73
 3562, 17, 30, 66, 77, 86, 50, 85, 67, 71
 3560, 20, 36, 83, 93, 95, 64, 90, 81, 83
 3563, 16, 67, 47, 31, 82, 62, 75, 50, 49
 3565, 16, 56, 80, 57, 87, 63, 84, 75, 79
 3566, 16, 60, 74, 47, 78, 57, 72, 69, 74
 3567, 14, 31, 68, 78, 86, 56, 80, 69, 69
 3568, 17, 43, 71, 60, 84, 57, 81, 65, 72
 3572, 18, 34, 62, 74, 82, 57, 72, 66, 68
 3574, 14, 74, 53, 54, 83, 66, 80, 56, 56
 3575, 80, 35, 33, 18, 76, 34, 72, 47, 33
 3576, 82, 33, 32, 16, 75, 33, 65, 46, 32
 3577, 16, 61, 45, 28, 76, 60, 72, 50, 49
 3578, 18, 33, 64, 75, 82, 56, 77, 66, 68
 3582, 17, 71, 53, 33, 77, 64, 74, 57, 57
 3581, 16, 47, 68, 48, 84, 53, 84, 65, 70
 3583, 19, 89, 67, 65, 74, 75, 59, 65, 65
 3584, 19, 32, 54, 77, 89, 71, 88, 72, 70
 3586, 13, 67, 47, 32, 76, 62, 66, 53, 53
 3587, 13, 45, 66, 46, 82, 48, 82, 59, 64
 3588, 14, 45, 66, 46, 73, 51, 64, 59, 67
 3590, 17, 60, 73, 45, 77, 56, 69, 67, 73
 3591, 17, 35, 58, 86, 88, 75, 85, 76, 73
 3593, 17, 32, 64, 72, 89, 54, 88, 66, 66
 3594, 17, 32, 50, 71, 79, 69, 75, 66, 64
 3596, 15, 43, 73, 60, 82, 56, 77, 66, 70
 3597, 84, 34, 32, 15, 76, 35, 67, 50, 33
 3598, 16, 35, 61, 84, 78, 80, 70, 71, 70
 3599, 14, 47, 69, 46, 81, 54, 80, 63, 69
 3600, 16, 55, 78, 56, 77, 59, 72, 72, 80
 3601, 17, 62, 84, 64, 81, 65, 79, 76, 84
 3603, 15, 67, 77, 47, 76, 58, 63, 71, 78
