PLAYERNUMBER,KEEPING,TACKLING,PASSING,SHOOTING,PACE,HEADING,STAMINA,SETPIECES,BALLCONTROL
 4048, 62, 30, 28, 16, 71, 27, 66, 37, 27
 3599, 11, 46, 35, 33, 67, 46, 52, 36, 38
  513, 17, 80, 49, 29, 73, 63, 66, 51, 51
  482, 18, 33, 54, 78, 88, 61, 84, 62, 65
 1724, 15, 26, 48, 56, 85, 45, 82, 52, 54
 3804, 50, 26, 25, 13, 77, 23, 69, 31, 23
 2867, 10, 26, 33, 49, 83, 43, 80, 44, 44
 2729, 10, 24, 31, 47, 93, 42, 84, 42, 45
 1612, 11, 35, 48, 37, 78, 41, 78, 50, 48
  748, 14, 39, 67, 57, 76, 53, 68, 65, 60
   27, 18, 96, 59, 38, 76, 85, 68, 64, 65
 3982, 62, 30, 31, 16, 70, 30, 65, 42, 31
 1723, 12, 27, 38, 60, 75, 52, 63, 57, 50
  616, 17, 33, 51, 75, 88, 58, 85, 62, 66
 3973, 16, 30, 43, 71, 82, 58, 75, 59, 60
  986, 15, 43, 63, 39, 73, 45, 68, 56, 61
 3357, 15, 33, 64, 72, 92, 60, 79, 62, 65
  827, 14, 40, 75, 67, 84, 50, 84, 63, 73
  987, 14, 42, 69, 59, 88, 55, 79, 61, 58
 1297, 16, 29, 47, 72, 93, 64, 91, 58, 60
 3662, 13, 26, 46, 51, 73, 46, 63, 46, 48
  369, 15, 82, 53, 36, 72, 76, 69, 62, 62
 2065, 11, 28, 49, 59, 83, 45, 81, 51, 49
  804, 15, 27, 42, 68, 91, 56, 86, 53, 53
 1326, 13, 72, 45, 55, 80, 64, 77, 51, 51
 3356, 16, 48, 80, 71, 86, 58, 85, 61, 75
 2375, 13, 24, 49, 52, 87, 38, 80, 45, 47
 3741, 12, 24, 32, 39, 84, 34, 73, 43, 44
 1627, 12, 54, 37, 23, 79, 45, 89, 40, 38
 4000, 15, 64, 46, 31, 75, 67, 71, 52, 53
