PLAYERNUMBER,KEEPING,TACKLING,PASSING,SHOOTING,PACE,HEADING,STAMINA,SETPIECES,BALLCONTROL
 2019, 16, 67, 44, 27, 82, 56, 75, 55, 45
 2297, 15, 41, 71, 46, 78, 44, 72, 54, 69
 2149, 17, 68, 47, 32, 69, 58, 64, 56, 51
 2995, 15, 33, 68, 84, 88, 60, 82, 83, 76
  209, 14, 59, 70, 43, 79, 57, 81, 67, 66
 2913, 12, 43, 69, 43, 79, 43, 77, 58, 64
   99, 16, 85, 57, 37, 79, 77, 79, 66, 58
 2738, 16, 42, 78, 68, 92, 54, 87, 60, 78
  600, 17, 33, 61, 74, 85, 55, 86, 63, 67
  582, 16, 51, 76, 57, 86, 59, 82, 68, 79
 3051, 16, 53, 79, 52, 82, 53, 75, 63, 75
 3058, 16, 27, 64, 74, 79, 53, 82, 57, 65
 2960, 13, 49, 73, 49, 77, 53, 76, 66, 70
  665, 17, 83, 59, 35, 76, 73, 79, 63, 62
  568, 15, 87, 57, 34, 80, 80, 84, 65, 59
 2635, 15, 46, 67, 45, 76, 45, 75, 55, 63
 2902, 13, 27, 47, 73, 85, 56, 76, 59, 63
 2617, 69, 28, 27, 15, 68, 31, 73, 37, 29
 2762, 83, 29, 30, 17, 79, 31, 79, 43, 33
 3074, 14, 33, 51, 85, 84, 63, 76, 67, 67
 2504, 17, 46, 80, 67, 83, 57, 89, 67, 80
  765, 17, 77, 56, 31, 80, 71, 76, 60, 55
 2740, 14, 58, 67, 42, 83, 52, 89, 63, 73
   81, 17, 34, 66, 77, 98, 58, 88, 67, 71
  645, 12, 29, 45, 62, 80, 55, 80, 61, 54
 2578, 16, 73, 46, 30, 82, 68, 87, 49, 52
 2299, 17, 67, 75, 46, 78, 60, 77, 66, 77
  372, 15, 74, 52, 31, 85, 66, 78, 55, 54
 2901, 16, 46, 68, 48, 80, 53, 74, 62, 67
 2245, 13, 71, 43, 31, 84, 66, 79, 44, 48
  785, 17, 52, 77, 56, 82, 58, 75, 67, 84
  817, 16, 82, 56, 35, 77, 77, 80, 55, 56
 2889, 14, 68, 44, 28, 77, 59, 66, 54, 50
 2420, 14, 27, 55, 64, 86, 49, 72, 51, 59
    6, 17, 78, 56, 36, 85, 71, 83, 59, 56
  159, 13, 54, 64, 41, 87, 54, 85, 59, 65
 2766, 15, 67, 46, 29, 71, 60, 70, 51, 50
  438, 16, 54, 79, 53, 86, 56, 83, 68, 75
 2938, 14, 56, 64, 38, 82, 45, 80, 58, 64
 2281, 81, 34, 36, 15, 69, 34, 68, 54, 35
 2639, 15, 39, 75, 64, 85, 51, 87, 60, 74
 2688, 16, 55, 68, 38, 80, 49, 80, 58, 67
 3117, 14, 65, 45, 28, 74, 54, 73, 47, 50
 2243, 17, 75, 49, 33, 82, 66, 83, 57, 54
  570, 18, 77, 55, 32, 76, 68, 69, 61, 58
  374, 16, 87, 56, 33, 79, 82, 89, 57, 61
 2271, 15, 28, 50, 74, 91, 71, 91, 55, 62
 2492, 16, 71, 44, 29, 78, 72, 81, 51, 50
 2860, 14, 29, 61, 71, 87, 50, 79, 56, 63
  267, 16, 29, 50, 75, 84, 69, 76, 59, 65
 2966, 15, 28, 54, 63, 73, 47, 73, 52, 54
 2301, 14, 44, 71, 49, 84, 51, 81, 63, 77
  584, 15, 41, 80, 68, 89, 56, 77, 64, 74
  406, 14, 30, 56, 82, 84, 74, 86, 66, 71
  253, 15, 63, 71, 41, 84, 55, 87, 63, 69
 3129, 13, 68, 47, 29, 76, 59, 79, 46, 50
 2025, 12, 35, 57, 47, 76, 48, 70, 58, 64
  510, 96, 35, 36, 20, 77, 36, 80, 56, 37
 3115, 13, 58, 69, 39, 82, 52, 84, 58, 65
  376, 18, 79, 54, 35, 78, 78, 78, 59, 55
 2560, 15, 44, 78, 64, 87, 58, 84, 62, 81
  801, 15, 41, 82, 68, 83, 65, 81, 63, 78
  819, 15, 64, 73, 47, 84, 57, 86, 65, 72
 2807, 16, 44, 81, 68, 87, 58, 91, 63, 74
 2668, 13, 72, 44, 31, 78, 64, 79, 56, 49
  322, 14, 29, 53, 83, 87, 73, 92, 62, 69
  747, 17, 44, 76, 62, 84, 54, 81, 64, 78
 3109, 14, 69, 51, 31, 77, 60, 70, 51, 52
 2637, 12, 49, 74, 45, 87, 44, 82, 53, 68
 2760, 13, 29, 65, 73, 81, 56, 81, 62, 62
  378, 13, 69, 46, 28, 78, 58, 78, 51, 50
  450, 16, 38, 64, 56, 81, 48, 77, 55, 70
 2193, 13, 71, 45, 31, 76, 62, 73, 52, 51
 3132, 13, 26, 53, 65, 80, 48, 78, 56, 57
  536, 18, 57, 89, 60, 79, 58, 77, 80, 92
 3080, 13, 46, 70, 41, 83, 48, 80, 60, 62
 2888, 14, 69, 44, 26, 76, 63, 78, 48, 44
 2641, 15, 40, 62, 44, 78, 43, 71, 53, 65
 2670, 13, 68, 45, 31, 80, 55, 74, 50, 44
  771, 16, 72, 51, 33, 80, 76, 79, 58, 55
 2672, 14, 64, 41, 28, 74, 52, 74, 50, 52
  440, 17, 77, 54, 36, 81, 68, 79, 57, 52
 3101, 15, 29, 46, 69, 83, 56, 75, 56, 59
 3110, 14, 27, 55, 64, 78, 45, 66, 59, 62
 2247, 15, 78, 46, 29, 76, 57, 71, 54, 52
 2986, 15, 73, 51, 33, 77, 69, 75, 53, 55
 2546, 15, 64, 75, 42, 86, 58, 91, 64, 73
  466, 73, 34, 31, 18, 69, 31, 67, 48, 31
 2930, 15, 67, 45, 28, 79, 60, 82, 47, 48
  727, 15, 64, 74, 45, 80, 52, 78, 67, 80
 2978, 14, 30, 62, 77, 90, 57, 86, 64, 70
 2768, 16, 78, 52, 29, 77, 66, 76, 60, 53
 2055, 16, 69, 46, 27, 78, 59, 73, 54, 45
 3116, 15, 73, 48, 30, 73, 65, 68, 51, 50
  422, 18, 94, 65, 67, 79, 83, 76, 67, 70
  424, 18, 82, 56, 34, 86, 72, 86, 62, 60
  112, 19, 88, 61, 68, 81, 76, 79, 60, 64
 3020, 17, 50, 83, 53, 85, 53, 71, 68, 79
 2237, 14, 73, 47, 29, 78, 61, 79, 56, 47
 3072, 15, 35, 68, 60, 82, 44, 71, 63, 68
 2794, 14, 76, 48, 53, 74, 71, 77, 57, 52
 2939, 15, 44, 63, 44, 76, 49, 77, 53, 64
 3086, 14, 28, 53, 63, 80, 44, 75, 54, 53
 2653, 16, 27, 49, 76, 86, 67, 77, 63, 66
 3144, 14, 56, 65, 36, 80, 46, 78, 55, 59
 3089, 14, 46, 68, 45, 76, 50, 81, 54, 60
 2099, 81, 31, 36, 18, 68, 34, 64, 48, 36
 3096, 15, 38, 73, 62, 79, 54, 77, 67, 73
 2690, 14, 35, 71, 59, 77, 48, 73, 57, 73
 2562, 14, 28, 56, 69, 80, 51, 76, 58, 65
 2375, 16, 29, 53, 75, 79, 76, 72, 65, 66
 2123, 16, 45, 68, 51, 78, 52, 77, 61, 68
 3056, 74, 31, 34, 14, 65, 30, 70, 44, 32
 2972, 14, 28, 52, 62, 79, 47, 77, 57, 54
 2781, 17, 47, 69, 47, 79, 49, 71, 56, 62
 2815, 16, 30, 61, 74, 89, 52, 89, 65, 63
 2795, 15, 74, 51, 31, 84, 62, 81, 51, 57
  239, 14, 66, 46, 31, 86, 68, 84, 50, 50
 2269, 18, 53, 76, 49, 87, 53, 84, 64, 79
   49, 74, 34, 32, 16, 70, 32, 61, 44, 33
 2875, 13, 41, 67, 47, 82, 49, 79, 55, 60
 2722, 16, 74, 49, 32, 72, 65, 79, 56, 49
  241, 18, 73, 49, 32, 84, 71, 77, 58, 54
 2887, 61, 30, 31, 13, 69, 31, 71, 42, 31
 2923, 15, 27, 58, 69, 83, 43, 83, 54, 62
 2351, 17, 58, 67, 41, 86, 51, 84, 63, 75
 2133, 12, 35, 76, 65, 83, 52, 78, 61, 73
  167, 16, 41, 70, 63, 81, 49, 79, 60, 75
 2317, 17, 30, 62, 77, 88, 49, 89, 56, 67
 2067, 15, 33, 65, 57, 79, 45, 85, 55, 65
 3062, 15, 70, 49, 28, 79, 63, 73, 50, 57
  185, 15, 32, 67, 78, 77, 60, 73, 64, 69
 2910, 15, 64, 45, 28, 75, 57, 78, 44, 44
  442, 16, 61, 75, 49, 82, 56, 93, 71, 82
 2674, 14, 76, 47, 28, 73, 66, 77, 54, 53
  398, 18, 72, 86, 48, 74, 57, 70, 75, 90
 2976, 14, 45, 64, 42, 76, 44, 74, 58, 59
 2676, 14, 68, 43, 31, 82, 57, 79, 56, 47
  713, 14, 78, 52, 31, 80, 69, 76, 58, 55
 2085, 13, 30, 66, 74, 88, 53, 86, 59, 69
 2121, 13, 59, 71, 44, 78, 55, 76, 59, 70
 3071, 66, 26, 28, 13, 63, 26, 62, 35, 28
  356, 16, 32, 70, 85, 91, 58, 84, 70, 77
 2931, 15, 66, 47, 26, 83, 58, 80, 47, 53
 3004, 17, 33, 65, 78, 89, 55, 87, 71, 70
 3093, 13, 70, 44, 30, 78, 56, 73, 48, 47
 2859, 16, 30, 47, 77, 79, 75, 75, 63, 65
 2903, 15, 30, 63, 73, 82, 51, 77, 52, 63
 3128, 15, 69, 44, 30, 72, 65, 78, 48, 48
  225, 16, 32, 68, 79, 89, 57, 91, 61, 71
 2582, 17, 74, 51, 51, 85, 58, 80, 57, 51
 2219, 15, 58, 70, 39, 85, 51, 82, 61, 63
 3025, 13, 63, 72, 38, 80, 55, 84, 59, 74
  452, 18, 34, 74, 87, 95, 65, 85, 71, 72
 2255, 16, 56, 65, 38, 77, 57, 82, 63, 60
  282, 17, 71, 52, 32, 82, 60, 85, 50, 50
  857, 17, 30, 56, 69, 81, 55, 80, 60, 64
 2548, 16, 51, 73, 51, 80, 48, 79, 60, 74
  171, 14, 56, 65, 39, 83, 51, 81, 62, 61
 2692, 15, 44, 64, 44, 75, 46, 68, 52, 61
  715, 17, 77, 51, 32, 81, 76, 79, 56, 58
  538, 16, 51, 82, 54, 85, 58, 80, 76, 84
  618, 18, 74, 89, 48, 84, 64, 81, 74, 85
 2285, 14, 72, 50, 31, 81, 64, 82, 53, 49
  633, 16, 55, 80, 54, 89, 58, 89, 68, 80
  384, 19, 87, 59, 33, 90, 68, 80, 64, 62
 3003, 81, 35, 35, 18, 71, 33, 69, 48, 35
   79, 17, 63, 70, 46, 83, 61, 82, 68, 74
 2564, 15, 29, 47, 79, 66, 74, 68, 59, 69
  276, 83, 32, 33, 17, 76, 33, 74, 47, 33
 2965, 13, 28, 58, 72, 80, 47, 81, 56, 60
 2101, 68, 31, 31, 13, 75, 31, 72, 39, 28
  402, 18, 46, 83, 72, 84, 62, 80, 68, 86
 2195, 16, 72, 45, 30, 81, 55, 83, 51, 48
 2881, 15, 30, 63, 73, 90, 56, 90, 63, 69
 2678, 15, 62, 46, 29, 75, 55, 71, 47, 47
  163, 15, 44, 70, 44, 82, 51, 79, 61, 60
  143, 70, 30, 29, 17, 67, 29, 65, 44, 29
 2876, 14, 41, 69, 46, 85, 51, 83, 57, 66
 3100, 16, 29, 58, 67, 82, 49, 76, 58, 55
 2041, 14, 28, 62, 73, 83, 48, 81, 55, 61
 2803, 14, 56, 68, 41, 70, 52, 70, 65, 70
 3139, 14, 28, 52, 64, 92, 48, 84, 57, 63
 2866, 14, 67, 44, 29, 84, 57, 82, 47, 47
 2165, 14, 47, 70, 48, 86, 50, 84, 60, 68
  620, 16, 79, 54, 34, 84, 70, 76, 59, 59
 2963, 14, 26, 56, 69, 79, 49, 72, 56, 62
 2217, 14, 36, 75, 64, 83, 52, 72, 60, 78
 3143, 13, 69, 45, 27, 79, 58, 79, 44, 47
  386, 17, 62, 46, 28, 75, 58, 77, 50, 45
 2778, 16, 75, 50, 53, 83, 65, 83, 60, 54
 3032, 17, 55, 80, 53, 79, 58, 77, 73, 80
  213, 15, 41, 74, 62, 87, 52, 74, 62, 78
 2810, 16, 49, 74, 51, 87, 52, 81, 62, 75
 2968, 12, 46, 64, 42, 78, 45, 73, 53, 64
 3099, 12, 30, 46, 70, 81, 58, 87, 55, 65
 2894, 14, 37, 73, 61, 88, 50, 85, 57, 67
  514, 18, 87, 56, 36, 75, 79, 76, 63, 58
   18, 15, 77, 51, 32, 76, 73, 82, 61, 60
 2998, 15, 72, 83, 45, 79, 58, 77, 71, 80
  695, 15, 65, 73, 43, 78, 58, 73, 67, 71
 3046, 18, 79, 55, 55, 87, 67, 85, 58, 59
 2017, 14, 67, 45, 30, 77, 57, 77, 53, 47
 2283, 71, 32, 32, 15, 69, 30, 61, 46, 29
