PLAYERNUMBER,KEEPING,TACKLING,PASSING,SHOOTING,PACE,HEADING,STAMINA,SETPIECES,BALLCONTROL
 3542, 14, 28, 41, 53, 84, 53, 82, 54, 51
 3320, 10, 24, 30, 48, 79, 42, 76, 42, 40
 3194, 13, 40, 58, 44, 82, 46, 86, 52, 63
  696, 14, 48, 37, 24, 78, 44, 79, 36, 38
 1268, 11, 56, 34, 26, 80, 47, 77, 39, 38
 3744, 14, 63, 72, 46, 87, 55, 84, 69, 75
 3702, 14, 37, 66, 56, 84, 45, 83, 54, 62
 3085, 12, 50, 39, 36, 77, 54, 75, 42, 40
  751, 13, 36, 48, 37, 81, 42, 80, 53, 51
 3694, 66, 30, 28, 15, 67, 27, 61, 41, 32
 1231, 12, 45, 53, 31, 86, 37, 78, 46, 53
 3434, 11, 21, 38, 46, 83, 36, 68, 43, 41
 3283, 11, 26, 45, 50, 81, 35, 81, 43, 45
 3846, 17, 33, 59, 81, 83, 68, 81, 74, 75
  158, 15, 31, 50, 77, 82, 66, 87, 64, 68
 3698, 15, 29, 45, 72, 86, 64, 88, 61, 59
  524, 14, 56, 76, 54, 80, 57, 84, 67, 78
 3726, 13, 63, 43, 46, 71, 59, 75, 49, 48
 3766, 17, 75, 48, 34, 79, 63, 77, 57, 58
  543, 11, 39, 47, 29, 78, 37, 67, 46, 46
 3383, 12, 24, 37, 44, 81, 39, 69, 51, 48
 1069, 18, 43, 79, 67, 92, 55, 88, 75, 86
   91, 17, 34, 62, 89, 85, 80, 77, 73, 82
 1681, 18, 67, 79, 47, 78, 59, 76, 66, 79
 3774, 16, 53, 73, 50, 79, 60, 73, 68, 73
 3775, 17, 54, 76, 53, 83, 56, 77, 70, 76
 3261, 10, 22, 34, 42, 85, 45, 80, 47, 45
 3624, 14, 24, 37, 46, 78, 42, 75, 41, 42
 1184, 16, 34, 70, 62, 77, 49, 70, 66, 76
 2032, 40, 22, 21, 13, 71, 24, 69, 26, 20
