PLAYERNUMBER,KEEPING,TACKLING,PASSING,SHOOTING,PACE,HEADING,STAMINA,SETPIECES,BALLCONTROL
  636, 67, 31, 33, 18, 62, 34, 52, 46, 34
  533, 83, 33, 35, 15, 74, 34, 69, 48, 34
  714, 16, 63, 49, 32, 83, 62, 78, 55, 51
   60, 14, 76, 56, 31, 82, 79, 84, 58, 57
  767, 15, 33, 48, 65, 84, 64, 77, 58, 59
 1052, 14, 27, 47, 72, 75, 59, 68, 56, 60
  623, 15, 62, 71, 42, 81, 51, 82, 60, 64
 1090, 70, 29, 31, 16, 70, 31, 67, 41, 33
  197, 16, 65, 93, 61, 83, 58, 83, 74, 80
 1130, 14, 41, 66, 51, 84, 49, 75, 64, 67
  267, 15, 97, 59, 37, 74, 90, 68, 59, 85
  990, 72, 31, 28, 16, 74, 29, 73, 40, 31
  912, 18, 57, 91, 61, 88, 64, 82, 77, 92
  795, 19, 54, 78, 57, 82, 58, 78, 69, 79
  220, 16, 41, 78, 68, 77, 56, 72, 61, 75
  164, 19, 81, 90, 51, 86, 70, 84, 77, 85
 1053, 13, 28, 51, 60, 84, 47, 79, 61, 62
  217, 16, 61, 72, 44, 83, 55, 85, 66, 70
 1091, 14, 68, 45, 30, 84, 68, 86, 50, 55
  338, 18, 33, 78, 89, 90, 58, 92, 65, 73
  333, 19, 65, 83, 57, 85, 57, 84, 75, 78
  728, 14, 30, 48, 64, 85, 60, 78, 58, 58
  910, 82, 33, 33, 17, 74, 35, 74, 46, 35
  521, 16, 57, 64, 43, 85, 52, 84, 63, 69
   87, 18, 50, 71, 52, 89, 46, 91, 65, 71
  863, 18, 61, 90, 60, 75, 65, 76, 70, 85
  864, 18, 56, 83, 56, 85, 63, 81, 73, 84
  316, 20, 32, 74, 85, 92, 61, 87, 73, 80
  149, 19, 37, 66, 89, 95, 82, 92, 73, 84
  819, 16, 51, 79, 59, 83, 56, 80, 71, 78
   55, 20, 35, 55, 86, 78, 80, 77, 70, 69
 1117, 13, 64, 41, 29, 78, 65, 73, 43, 48
  175, 16, 70, 49, 52, 81, 63, 74, 52, 55
 1054, 15, 65, 45, 31, 76, 61, 71, 48, 49
   38, 89, 34, 36, 17, 69, 36, 67, 45, 31
 1105, 14, 45, 66, 46, 86, 46, 87, 61, 63
  229, 17, 91, 57, 34, 79, 83, 74, 64, 60
  880, 17, 61, 84, 59, 81, 65, 74, 76, 84
 1136, 61, 28, 31, 16, 69, 30, 63, 39, 31
  715, 15, 70, 50, 29, 80, 65, 80, 55, 53
 1055, 59, 30, 30, 16, 70, 32, 67, 41, 29
  800, 15, 32, 54, 75, 87, 73, 73, 72, 71
 1140, 16, 66, 45, 29, 83, 59, 82, 48, 50
 1042, 17, 75, 51, 33, 80, 67, 76, 57, 55
  801, 18, 34, 57, 77, 88, 75, 92, 69, 70
  687, 18, 31, 62, 74, 82, 52, 78, 63, 63
  244, 19, 34, 62, 90, 93, 79, 84, 70, 81
 1011, 67, 33, 33, 16, 66, 32, 61, 39, 32
  702, 17, 51, 80, 50, 81, 58, 77, 66, 75
  188, 17, 33, 52, 80, 91, 66, 82, 62, 67
  618, 17, 68, 50, 30, 80, 64, 76, 55, 54
  211, 15, 87, 56, 35, 82, 82, 83, 64, 62
  199, 19, 33, 77, 89, 92, 57, 91, 68, 75
  419, 16, 63, 46, 30, 79, 61, 79, 49, 50
  314, 16, 58, 82, 59, 87, 64, 94, 71, 82
  234, 17, 65, 88, 68, 89, 69, 90, 71, 85
   53, 17, 38, 82, 93, 85, 61, 70, 87, 89
  279, 21, 33, 62, 89, 84, 76, 73, 71, 85
 1021, 16, 51, 72, 50, 85, 52, 79, 62, 73
   77, 18, 80, 57, 33, 76, 78, 62, 58, 55
