PLAYERNUMBER,KEEPING,TACKLING,PASSING,SHOOTING,PACE,HEADING,STAMINA,SETPIECES,BALLCONTROL
  285, 16, 35, 53, 82, 92, 70, 82, 64, 73
 2817, 16, 43, 59, 41, 74, 45, 77, 59, 62
  350, 75, 32, 32, 17, 67, 31, 48, 41, 29
 2839, 14, 34, 47, 81, 84, 73, 81, 71, 73
  353, 16, 77, 48, 32, 87, 64, 83, 49, 50
  659, 16, 69, 45, 29, 74, 65, 76, 45, 47
  463, 17, 47, 84, 70, 85, 65, 77, 69, 80
  320, 16, 37, 74, 88, 88, 62, 80, 67, 77
 2904, 13, 29, 57, 67, 75, 45, 66, 60, 61
  448, 16, 82, 54, 34, 77, 74, 78, 54, 55
  372, 15, 32, 49, 78, 88, 66, 83, 61, 66
   49, 17, 86, 63, 62, 87, 74, 78, 56, 67
 2849, 17, 32, 62, 76, 88, 56, 84, 63, 64
  115, 17, 80, 52, 57, 81, 64, 72, 52, 54
  741, 71, 31, 28, 15, 78, 30, 77, 36, 29
  326, 82, 35, 34, 15, 75, 33, 72, 44, 31
 2896, 16, 70, 46, 30, 76, 61, 84, 47, 47
  409, 14, 57, 65, 42, 86, 55, 81, 58, 70
  306, 16, 81, 52, 33, 72, 75, 61, 53, 58
  839, 19, 59, 73, 47, 75, 54, 77, 62, 73
  218, 17, 63, 82, 57, 85, 66, 77, 69, 84
  190, 17, 49, 83, 73, 82, 59, 65, 63, 78
  253, 16, 35, 72, 82, 90, 60, 92, 69, 74
 1870, 18, 47, 82, 71, 78, 56, 76, 64, 83
   78, 18, 61, 82, 61, 75, 62, 69, 66, 83
  241, 18, 81, 49, 32, 82, 64, 72, 50, 53
  631, 15, 41, 73, 64, 81, 53, 81, 59, 75
  664, 15, 78, 49, 33, 86, 66, 74, 49, 53
  310, 16, 72, 53, 47, 84, 58, 72, 46, 54
  169, 19, 53, 89, 72, 87, 62, 80, 71, 86
  160, 17, 90, 59, 35, 79, 79, 77, 57, 60
  245, 15, 59, 77, 56, 87, 57, 84, 64, 73
 2932, 70, 30, 28, 13, 71, 31, 70, 38, 30
  289, 15, 82, 54, 33, 77, 76, 83, 54, 57
  770, 14, 53, 61, 41, 75, 52, 67, 57, 65
  336, 17, 50, 76, 67, 85, 57, 89, 62, 78
  139, 16, 83, 60, 60, 82, 69, 74, 52, 63
  595, 76, 34, 32, 16, 75, 34, 73, 44, 32
   90, 16, 34, 55, 84, 86, 76, 89, 73, 73
  395, 14, 68, 41, 28, 78, 65, 81, 41, 48
  105, 17, 51, 83, 74, 88, 62, 88, 66, 84
 2725, 14, 65, 44, 27, 71, 58, 70, 45, 46
  746, 14, 76, 52, 52, 88, 66, 77, 52, 56
 2947, 75, 35, 31, 16, 68, 33, 64, 43, 32
  125, 18, 78, 58, 33, 82, 70, 73, 51, 56
   10, 19, 54, 92, 74, 85, 65, 82, 77, 91
 2948, 15, 71, 55, 53, 77, 68, 75, 53, 56
 2944, 18, 55, 74, 54, 82, 57, 79, 62, 77
  721, 17, 30, 62, 74, 80, 54, 77, 53, 60
   34, 19, 54, 91, 76, 87, 64, 80, 73, 87
 2885, 17, 73, 46, 32, 78, 70, 77, 51, 52
  401, 17, 82, 52, 56, 77, 71, 69, 54, 57
  417, 14, 36, 64, 75, 84, 61, 80, 60, 71
  268, 15, 84, 60, 56, 79, 68, 78, 65, 64
  229, 20, 87, 60, 34, 82, 79, 85, 55, 62
  456, 15, 71, 84, 50, 78, 58, 73, 77, 79
  491, 17, 70, 44, 49, 86, 55, 76, 48, 51
  307, 17, 91, 63, 59, 86, 74, 86, 62, 64
  537, 14, 74, 50, 33, 87, 60, 77, 49, 55
  539, 15, 31, 61, 71, 85, 55, 82, 58, 67
 2851, 81, 33, 35, 14, 74, 37, 75, 46, 32
  810, 14, 72, 46, 50, 71, 59, 65, 44, 51
  733, 15, 57, 69, 43, 73, 59, 74, 58, 73
  331, 14, 71, 44, 29, 75, 67, 69, 45, 52
 2723, 88, 39, 36, 17, 68, 34, 70, 49, 37
  298, 19, 36, 72, 80, 92, 59, 81, 71, 77
  901, 15, 72, 45, 32, 79, 60, 76, 45, 52
  181, 67, 31, 30, 15, 73, 32, 68, 37, 31
  540, 17, 57, 68, 43, 83, 54, 67, 59, 66
 2715, 15, 43, 76, 67, 81, 51, 79, 61, 74
  191, 17, 51, 86, 71, 84, 63, 71, 67, 80
  799, 16, 33, 45, 73, 85, 67, 80, 61, 63
 2755, 17, 30, 57, 67, 86, 51, 84, 61, 61
  541, 15, 59, 67, 45, 75, 57, 74, 61, 73
  776, 15, 30, 58, 66, 84, 48, 78, 52, 61
 2876, 15, 43, 66, 43, 78, 48, 71, 60, 66
 3013, 18, 85, 55, 33, 82, 74, 80, 62, 61
 2945, 15, 85, 58, 33, 82, 72, 78, 54, 56
  477, 14, 57, 78, 57, 80, 57, 88, 63, 78
 2825, 14, 31, 55, 64, 75, 45, 69, 58, 59
  553, 13, 73, 45, 30, 88, 67, 77, 44, 53
  873, 19, 33, 54, 85, 85, 77, 85, 64, 71
  378, 15, 72, 50, 34, 81, 72, 80, 48, 52
  564, 17, 35, 68, 81, 86, 60, 90, 62, 68
  559, 18, 44, 79, 64, 89, 53, 80, 66, 75
  345, 17, 36, 68, 81, 85, 57, 76, 63, 70
  777, 17, 31, 41, 69, 82, 65, 86, 57, 58
  209, 16, 75, 50, 31, 82, 66, 71, 46, 51
 2921, 17, 71, 53, 50, 78, 64, 79, 50, 60
   32, 20, 92, 65, 62, 88, 74, 84, 60, 70
  492, 17, 75, 48, 53, 81, 63, 73, 45, 54
 2695, 15, 60, 48, 42, 74, 60, 78, 45, 48
 2982, 82, 34, 31, 15, 68, 33, 71, 43, 31
 2996, 71, 32, 31, 13, 71, 32, 73, 38, 29
  153, 16, 34, 66, 81, 86, 59, 88, 67, 74
  532, 16, 72, 52, 50, 79, 66, 66, 48, 54
  483, 15, 60, 71, 44, 84, 61, 78, 62, 72
 2981, 14, 26, 46, 71, 79, 66, 76, 56, 61
   56, 17, 62, 82, 62, 82, 64, 89, 69, 80
  498, 16, 82, 51, 33, 82, 73, 85, 52, 56
  118, 16, 82, 53, 35, 73, 74, 72, 52, 55
  445, 71, 33, 33, 17, 78, 29, 75, 39, 28
  449, 16, 83, 60, 55, 81, 68, 67, 52, 59
  200, 15, 36, 75, 87, 90, 57, 75, 64, 77
 2900, 14, 55, 64, 39, 82, 50, 82, 58, 66
   16, 18, 57, 92, 75, 89, 69, 81, 71, 90
  576, 14, 65, 43, 32, 81, 65, 87, 44, 49
   96, 17, 80, 52, 36, 87, 71, 84, 55, 56
  494, 16, 71, 51, 53, 83, 55, 74, 44, 51
 2727, 13, 66, 43, 46, 76, 57, 75, 46, 49
  470, 17, 79, 50, 33, 84, 71, 76, 51, 56
  299, 15, 31, 74, 83, 94, 60, 84, 71, 71
  249, 18, 35, 72, 84, 87, 61, 85, 64, 77
  714, 17, 35, 67, 80, 90, 58, 78, 65, 73
   79, 15, 46, 80, 70, 85, 55, 82, 65, 75
 2983, 16, 83, 50, 31, 77, 72, 78, 53, 51
  502, 16, 69, 42, 28, 83, 62, 78, 43, 46
  613, 15, 30, 43, 70, 89, 62, 87, 54, 60
 2922, 15, 43, 76, 61, 81, 51, 83, 67, 77
 1839, 18, 91, 60, 36, 83, 84, 82, 60, 65
  192, 18, 59, 82, 53, 76, 60, 70, 67, 78
 1838, 20, 39, 81, 98, 88, 80, 88, 85, 95
 2796, 17, 74, 46, 30, 80, 65, 80, 49, 48
   22, 19, 54, 93, 77, 90, 65, 84, 71, 93
  504, 13, 30, 62, 70, 85, 50, 82, 54, 65
 2916, 13, 40, 54, 40, 73, 37, 66, 49, 60
  340, 17, 63, 72, 43, 89, 63, 78, 63, 73
  346, 18, 35, 50, 80, 81, 68, 62, 64, 71
  193, 15, 60, 75, 58, 83, 57, 78, 66, 78
  207, 76, 36, 31, 16, 78, 36, 71, 45, 33
 2737, 15, 30, 55, 65, 77, 49, 76, 52, 60
 2712, 17, 71, 48, 34, 77, 67, 78, 51, 55
 2816, 14, 52, 60, 40, 76, 48, 81, 53, 65
 2764, 15, 40, 67, 56, 76, 50, 74, 56, 69
  402, 17, 84, 58, 36, 74, 74, 70, 57, 63
  112, 18, 34, 61, 81, 86, 77, 75, 65, 74
  808, 17, 86, 57, 56, 89, 72, 77, 55, 60
  731, 15, 44, 76, 62, 74, 57, 75, 61, 72
  476, 17, 41, 64, 56, 88, 47, 88, 56, 65
 2914, 12, 33, 56, 49, 76, 43, 75, 45, 54
  403, 16, 83, 52, 31, 76, 74, 74, 50, 54
  212, 18, 92, 61, 35, 80, 82, 88, 62, 64
  439, 17, 32, 66, 82, 89, 62, 92, 61, 70
   80, 16, 52, 82, 70, 82, 62, 82, 64, 76
  480, 14, 40, 73, 65, 89, 55, 78, 55, 66
    1, 85, 36, 32, 15, 76, 35, 68, 51, 30
  473, 16, 74, 44, 31, 76, 64, 76, 43, 50
  256, 71, 31, 27, 16, 72, 30, 70, 36, 28
 2973, 14, 56, 67, 43, 81, 50, 70, 57, 69
  598, 16, 80, 51, 32, 79, 71, 71, 51, 60
  413, 18, 75, 56, 54, 80, 64, 70, 53, 56
  551, 16, 61, 69, 49, 83, 61, 80, 58, 76
 2699, 14, 54, 62, 42, 81, 46, 83, 54, 65
  348, 18, 34, 54, 83, 86, 77, 88, 64, 71
  210, 19, 80, 52, 58, 87, 67, 79, 53, 55
 2956, 14, 33, 52, 76, 80, 73, 83, 67, 64
 2736, 16, 30, 53, 61, 78, 52, 75, 56, 57
 2740, 12, 59, 44, 41, 77, 54, 72, 51, 47
  884, 15, 51, 61, 42, 88, 50, 77, 53, 61
 2677, 17, 31, 69, 79, 84, 58, 83, 70, 74
  883, 16, 49, 72, 42, 77, 49, 83, 57, 69
  749, 16, 55, 62, 36, 83, 53, 79, 52, 59
  392, 16, 32, 67, 80, 83, 54, 77, 59, 72
 2962, 70, 31, 28, 15, 68, 31, 67, 38, 28
 2834, 17, 75, 51, 31, 78, 75, 80, 55, 56
  695, 15, 60, 38, 27, 73, 54, 68, 43, 41
 2868, 15, 43, 75, 62, 85, 55, 80, 69, 73
  754, 14, 71, 51, 50, 86, 57, 88, 43, 50
  278, 82, 34, 33, 17, 70, 37, 66, 47, 34
 2870, 14, 43, 73, 63, 83, 59, 90, 64, 68
  669, 17, 58, 68, 45, 72, 61, 69, 61, 74
   35, 17, 80, 93, 54, 85, 61, 82, 71, 90
  197, 17, 54, 84, 68, 84, 57, 82, 71, 79
 2859, 15, 75, 50, 31, 77, 70, 84, 59, 56
  175, 18, 85, 57, 36, 78, 76, 80, 63, 61
 2713, 16, 74, 50, 32, 79, 70, 86, 54, 52
   91, 18, 35, 52, 84, 87, 76, 76, 65, 72
  369, 15, 34, 64, 72, 88, 53, 72, 62, 64
  273, 17, 34, 56, 69, 90, 50, 87, 61, 63
  657, 79, 33, 32, 16, 77, 34, 72, 44, 32
   36, 17, 55, 93, 77, 89, 67, 85, 73, 94
 1872, 14, 31, 59, 67, 76, 48, 69, 53, 60
  744, 13, 68, 42, 30, 79, 63, 73, 45, 47
  184, 17, 86, 54, 35, 80, 69, 78, 55, 62
 2683, 18, 52, 90, 72, 83, 65, 80, 76, 91
