PLAYERNUMBER,KEEPING,TACKLING,PASSING,SHOOTING,PACE,HEADING,STAMINA,SETPIECES,BALLCONTROL
 1240, 11, 32, 47, 33, 69, 35, 67, 44, 48
  954, 14, 38, 51, 36, 84, 41, 81, 46, 51
  136, 19, 34, 57, 83, 92, 70, 78, 63, 63
  363, 16, 46, 76, 66, 89, 54, 79, 58, 68
  468, 15, 27, 36, 54, 84, 51, 82, 45, 48
 1026, 16, 32, 48, 72, 86, 59, 86, 61, 61
 1209, 15, 55, 41, 39, 80, 52, 79, 44, 43
  680, 14, 27, 43, 50, 83, 42, 79, 52, 52
  335, 13, 46, 65, 43, 82, 46, 80, 50, 60
  725, 13, 46, 36, 26, 78, 47, 74, 39, 40
  418, 13, 42, 56, 41, 80, 45, 81, 51, 52
  249, 18, 50, 88, 74, 83, 64, 79, 78, 78
  748, 60, 29, 27, 12, 71, 26, 67, 39, 29
  726, 14, 24, 42, 51, 68, 45, 59, 48, 49
 1217, 15, 36, 53, 45, 88, 45, 79, 52, 50
  900, 11, 41, 34, 20, 76, 44, 73, 36, 37
  632, 11, 32, 59, 51, 91, 42, 80, 42, 52
  702, 15, 40, 56, 43, 83, 46, 79, 49, 50
  653, 14, 36, 54, 33, 79, 40, 76, 45, 53
 1111, 16, 74, 54, 33, 77, 61, 81, 56, 60
 1121, 17, 35, 75, 91, 91, 66, 85, 80, 88
  250, 19, 87, 59, 36, 83, 77, 75, 62, 63
  364, 14, 31, 70, 76, 88, 56, 81, 55, 65
  419, 12, 61, 43, 30, 81, 53, 79, 43, 49
    1, 15, 72, 55, 34, 81, 61, 75, 59, 60
 1226, 18, 58, 75, 53, 85, 58, 84, 61, 66
  972, 10, 28, 39, 33, 79, 36, 83, 43, 46
 1201, 15, 62, 46, 30, 82, 62, 81, 52, 51
  365, 17, 32, 50, 72, 85, 60, 84, 57, 60
   38, 18, 81, 61, 36, 76, 63, 67, 60, 68
  469, 16, 44, 55, 43, 86, 45, 73, 51, 45
 1000, 13, 36, 43, 30, 81, 34, 81, 43, 44
 1165, 12, 38, 55, 36, 83, 42, 79, 44, 54
 1068, 12, 43, 62, 43, 76, 46, 67, 47, 56
  519, 13, 40, 51, 40, 80, 43, 80, 50, 52
  470, 15, 57, 42, 27, 78, 51, 77, 47, 47
 1194, 13, 30, 44, 60, 79, 52, 74, 51, 52
  749, 14, 57, 34, 24, 69, 45, 45, 40, 40
 1187, 58, 30, 27, 13, 67, 28, 66, 36, 29
 1082, 13, 38, 60, 38, 78, 43, 72, 47, 56
  194, 15, 33, 63, 72, 83, 55, 79, 61, 61
 1238, 10, 25, 35, 42, 79, 33, 75, 39, 39
