PLAYERNUMBER,KEEPING,TACKLING,PASSING,SHOOTING,PACE,HEADING,STAMINA,SETPIECES,BALLCONTROL
  352, 18, 51, 79, 51, 83, 60, 78, 69, 80
  355, 14, 34, 54, 80, 80, 69, 77, 72, 67
  344, 18, 78, 51, 32, 80, 70, 79, 57, 59
  345, 16, 76, 51, 31, 81, 68, 81, 57, 56
  346, 15, 83, 53, 33, 82, 76, 80, 58, 64
  347, 17, 77, 53, 55, 82, 70, 81, 58, 59
  348, 16, 76, 51, 50, 85, 68, 85, 55, 56
  349, 16, 51, 73, 53, 79, 56, 73, 68, 73
  351, 18, 54, 83, 53, 82, 64, 81, 67, 83
  343, 84, 33, 32, 18, 81, 34, 81, 43, 33
  353, 18, 44, 74, 62, 82, 57, 75, 68, 73
  354, 17, 51, 76, 51, 80, 57, 76, 69, 74
  360, 15, 32, 62, 73, 85, 55, 85, 69, 68
  359, 17, 33, 63, 74, 87, 55, 84, 69, 68
  358, 15, 32, 64, 73, 81, 57, 76, 67, 67
  357, 15, 31, 54, 84, 87, 76, 83, 76, 68
  356, 15, 32, 62, 73, 84, 56, 81, 67, 66
  350, 15, 70, 80, 47, 84, 59, 83, 67, 77
 1681, 17, 78, 55, 32, 83, 68, 79, 58, 59
 1691, 17, 35, 66, 77, 77, 60, 68, 70, 70
 1682, 17, 86, 53, 34, 84, 77, 80, 57, 65
 1683, 16, 79, 56, 32, 80, 74, 78, 57, 62
 1684, 18, 83, 55, 32, 71, 73, 61, 56, 62
 1685, 17, 46, 77, 63, 84, 58, 85, 68, 75
 1686, 17, 54, 86, 55, 81, 67, 76, 70, 87
 1687, 15, 54, 81, 53, 86, 61, 83, 71, 79
 1688, 15, 53, 76, 52, 84, 59, 82, 68, 75
 1690, 17, 32, 62, 76, 77, 58, 67, 68, 69
 1692, 16, 33, 67, 77, 81, 60, 75, 71, 69
 1693, 15, 32, 63, 75, 84, 57, 80, 69, 71
 1694, 16, 32, 53, 87, 86, 76, 80, 79, 71
 1695, 17, 32, 55, 81, 81, 74, 73, 74, 70
 1678, 87, 35, 32, 16, 77, 35, 67, 46, 35
 1679, 75, 33, 33, 16, 75, 33, 72, 47, 34
 1680, 18, 76, 55, 34, 77, 68, 74, 59, 59
 1689, 16, 47, 82, 70, 86, 60, 82, 71, 80
 2418, 15, 49, 71, 50, 76, 56, 66, 66, 73
 2409, 17, 74, 51, 34, 77, 65, 73, 54, 56
 2410, 16, 73, 49, 51, 72, 66, 63, 55, 55
 2411, 14, 74, 49, 33, 79, 67, 72, 54, 57
 2412, 15, 70, 49, 33, 69, 65, 57, 55, 55
 2414, 17, 72, 52, 31, 73, 66, 67, 53, 55
 2408, 71, 31, 32, 15, 72, 31, 74, 45, 33
 2417, 17, 52, 72, 51, 80, 56, 75, 67, 71
 2413, 17, 73, 49, 31, 75, 64, 69, 55, 54
 2419, 14, 52, 74, 50, 87, 54, 84, 66, 71
 2420, 15, 52, 72, 52, 78, 56, 73, 65, 73
 2421, 15, 31, 58, 71, 84, 54, 82, 66, 67
 2422, 16, 33, 49, 73, 87, 67, 85, 67, 64
 2423, 16, 30, 60, 72, 78, 54, 70, 67, 65
 2424, 18, 31, 64, 73, 88, 56, 85, 64, 67
 2416, 14, 50, 73, 50, 84, 55, 79, 67, 73
 2407, 70, 30, 30, 17, 72, 31, 73, 45, 31
 2415, 17, 50, 71, 51, 81, 57, 76, 64, 70
 2291, 16, 50, 76, 48, 78, 57, 72, 62, 73
 2282, 16, 79, 49, 31, 79, 70, 78, 53, 61
 2283, 17, 74, 51, 53, 81, 69, 75, 54, 56
 2284, 17, 73, 49, 32, 77, 69, 71, 55, 57
 2285, 15, 70, 48, 50, 82, 64, 81, 51, 53
 2286, 14, 71, 48, 47, 83, 64, 82, 54, 52
 2281, 71, 31, 32, 14, 73, 29, 72, 43, 29
 2289, 14, 42, 70, 59, 84, 54, 80, 65, 71
 2288, 16, 48, 70, 49, 78, 52, 67, 64, 71
 2292, 16, 44, 77, 64, 71, 61, 57, 64, 78
 2293, 17, 47, 73, 47, 77, 55, 71, 65, 73
 2294, 16, 32, 49, 80, 83, 70, 77, 70, 63
 2295, 14, 30, 51, 76, 86, 66, 81, 69, 63
 2296, 15, 33, 59, 71, 85, 53, 83, 65, 62
 2297, 16, 31, 47, 69, 83, 64, 83, 64, 63
 2287, 15, 68, 49, 31, 77, 63, 75, 52, 52
 2290, 15, 42, 70, 61, 71, 54, 55, 63, 71
 2280, 77, 33, 30, 14, 85, 31, 84, 41, 32
  171, 15, 52, 80, 54, 84, 63, 84, 70, 79
  178, 15, 34, 54, 76, 89, 69, 84, 69, 69
  177, 16, 35, 54, 80, 88, 74, 84, 72, 71
  176, 15, 35, 72, 87, 84, 66, 81, 77, 71
  175, 18, 48, 76, 64, 82, 60, 83, 71, 77
  174, 15, 48, 75, 63, 85, 59, 83, 69, 76
  172, 17, 52, 86, 56, 84, 64, 84, 70, 87
  180, 16, 33, 66, 78, 73, 58, 63, 69, 69
  170, 17, 77, 53, 56, 84, 68, 85, 57, 57
  169, 15, 75, 54, 49, 83, 69, 81, 58, 59
  168, 15, 76, 54, 50, 76, 69, 68, 59, 60
  167, 18, 78, 54, 33, 71, 71, 57, 56, 57
  166, 15, 81, 52, 32, 71, 75, 56, 60, 61
  165, 18, 82, 56, 33, 75, 73, 67, 60, 61
  164, 18, 85, 54, 33, 78, 76, 72, 58, 66
  173, 18, 55, 82, 53, 84, 61, 81, 71, 81
  163, 84, 35, 33, 15, 84, 33, 84, 47, 34
  179, 18, 34, 66, 78, 76, 59, 66, 69, 70
  785, 16, 54, 80, 54, 84, 58, 84, 71, 80
