PLAYERNUMBER,KEEPING,TACKLING,PASSING,SHOOTING,PACE,HEADING,STAMINA,SETPIECES,BALLCONTROL
 1034, 12, 62, 47, 43, 77, 56, 79, 48, 45
 1338, 18, 31, 49, 76, 85, 70, 85, 69, 66
 1410, 14, 31, 64, 78, 88, 59, 84, 73, 65
 1411, 15, 31, 61, 73, 82, 56, 74, 68, 62
  355, 16, 45, 72, 62, 83, 50, 77, 63, 66
  997, 14, 41, 57, 39, 82, 41, 80, 47, 54
 1342, 16, 76, 48, 32, 77, 67, 69, 55, 56
 1186, 14, 48, 75, 48, 70, 59, 60, 61, 78
  367, 18, 45, 74, 60, 77, 57, 66, 62, 70
  202, 71, 33, 31, 16, 84, 31, 82, 45, 34
 1117, 14, 31, 55, 64, 85, 50, 83, 61, 58
 1373, 17, 33, 68, 78, 78, 59, 70, 69, 66
 1484, 17, 72, 51, 49, 81, 65, 82, 53, 55
 1650, 14, 47, 73, 50, 77, 56, 67, 66, 73
  329, 17, 30, 50, 66, 89, 63, 88, 62, 63
  145, 16, 62, 47, 32, 80, 58, 75, 47, 48
  105, 15, 32, 47, 66, 78, 69, 65, 70, 61
  135, 16, 46, 69, 48, 70, 53, 73, 55, 67
  103, 14, 73, 47, 29, 69, 58, 53, 52, 49
 1000, 15, 32, 55, 49, 88, 40, 83, 48, 56
  749, 15, 53, 64, 33, 81, 43, 81, 55, 56
   64, 16, 33, 68, 79, 86, 61, 85, 67, 68
  921, 11, 26, 46, 53, 78, 40, 79, 47, 49
  818, 14, 26, 53, 61, 87, 46, 84, 48, 54
 1714, 16, 33, 50, 68, 86, 64, 87, 62, 64
 1246, 17, 32, 50, 82, 85, 74, 84, 72, 64
  905, 14, 24, 42, 51, 90, 37, 79, 41, 43
  787, 15, 28, 46, 67, 93, 50, 89, 52, 61
  100, 17, 31, 52, 72, 82, 61, 74, 63, 64
 1229, 78, 35, 34, 18, 77, 35, 74, 45, 33
  235, 15, 56, 64, 36, 77, 48, 72, 53, 64
 1008, 12, 62, 36, 28, 74, 49, 68, 40, 41
  133, 16, 66, 47, 30, 83, 62, 82, 51, 52
   79, 19, 89, 55, 36, 76, 70, 68, 59, 56
 1219, 15, 64, 75, 45, 83, 60, 81, 69, 78
   29, 17, 73, 51, 32, 85, 66, 82, 55, 57
  819, 13, 61, 42, 25, 84, 54, 82, 44, 44
  318, 13, 30, 49, 59, 86, 44, 85, 53, 54
  926, 14, 61, 43, 29, 77, 58, 75, 42, 43
  788, 14, 26, 51, 61, 81, 45, 89, 55, 53
  230, 15, 31, 46, 72, 84, 58, 80, 56, 56
 1626, 16, 79, 54, 33, 82, 70, 79, 58, 59
 1608, 14, 33, 61, 73, 86, 56, 82, 69, 65
 1557, 17, 78, 50, 34, 82, 72, 80, 56, 61
 1258, 17, 48, 68, 49, 83, 53, 80, 64, 71
 1566, 17, 44, 73, 62, 81, 58, 74, 68, 74
 1563, 17, 51, 78, 54, 84, 61, 87, 68, 78
 1616, 16, 34, 51, 84, 83, 77, 75, 77, 68
 1593, 14, 77, 49, 32, 78, 72, 72, 53, 59
 1627, 17, 79, 51, 53, 82, 70, 83, 57, 60
  354, 18, 32, 57, 89, 84, 66, 77, 67, 67
  342, 16, 30, 49, 71, 87, 61, 88, 61, 61
 1646, 15, 70, 48, 50, 75, 65, 71, 54, 52
  748, 15, 58, 38, 28, 71, 51, 75, 50, 43
  916, 13, 39, 60, 40, 78, 49, 83, 48, 60
 1148, 15, 60, 42, 43, 82, 52, 81, 46, 45
  273, 14, 66, 77, 46, 79, 60, 71, 67, 77
  240, 17, 30, 56, 69, 88, 51, 85, 60, 61
 1402, 17, 50, 77, 47, 84, 59, 83, 64, 78
  148, 16, 30, 47, 69, 76, 56, 71, 59, 59
 1283, 16, 31, 53, 74, 85, 67, 78, 66, 67
 1614, 18, 45, 80, 67, 81, 60, 77, 66, 81
   24, 16, 59, 91, 57, 82, 66, 74, 74, 83
 1720, 17, 75, 54, 33, 80, 71, 79, 59, 56
   62, 20, 60, 81, 62, 85, 63, 82, 72, 81
 1046, 61, 26, 27, 13, 69, 25, 64, 37, 23
 1709, 15, 49, 74, 49, 83, 56, 81, 62, 73
  299, 15, 77, 49, 32, 78, 71, 76, 54, 60
  172, 15, 43, 58, 45, 75, 50, 76, 59, 60
   45, 16, 53, 82, 56, 84, 56, 87, 66, 72
  195, 15, 31, 66, 75, 86, 54, 86, 68, 66
 1195, 16, 29, 56, 66, 86, 53, 87, 60, 63
  379, 16, 51, 71, 50, 84, 47, 84, 64, 68
 1232, 73, 33, 31, 15, 74, 33, 70, 44, 33
  115, 16, 31, 51, 84, 80, 65, 75, 65, 64
 1399, 17, 72, 48, 31, 80, 67, 76, 54, 56
 1508, 16, 74, 49, 54, 82, 68, 78, 54, 56
  181, 17, 33, 56, 69, 72, 51, 61, 63, 61
 1094, 15, 65, 44, 43, 75, 61, 72, 45, 50
 1577, 16, 53, 87, 54, 84, 63, 82, 69, 85
 1347, 16, 50, 75, 50, 87, 56, 84, 65, 72
 1657, 16, 31, 70, 80, 85, 58, 84, 73, 62
   83, 13, 49, 76, 47, 80, 52, 73, 59, 64
  137, 14, 63, 43, 45, 79, 53, 76, 45, 43
  804, 11, 56, 32, 23, 82, 45, 82, 36, 36
 1711, 14, 44, 76, 61, 82, 56, 84, 63, 75
  927, 14, 63, 43, 29, 82, 52, 78, 48, 45
  775, 64, 27, 31, 16, 66, 28, 64, 38, 30
  943, 15, 41, 60, 40, 74, 48, 66, 49, 61
   14, 16, 78, 53, 34, 70, 61, 56, 54, 50
  141, 13, 29, 45, 61, 74, 56, 63, 53, 54
  863, 14, 25, 49, 55, 83, 43, 82, 44, 46
  824, 12, 55, 38, 25, 80, 57, 83, 42, 43
 1193, 17, 30, 48, 75, 75, 70, 61, 70, 61
  882, 12, 23, 50, 60, 86, 41, 76, 42, 54
   50, 17, 32, 48, 65, 83, 60, 78, 59, 64
 1082, 14, 24, 38, 53, 82, 44, 75, 48, 52
 1079, 13, 33, 53, 42, 84, 46, 84, 49, 55
  754, 15, 38, 62, 39, 80, 41, 73, 51, 61
 1176, 15, 31, 45, 63, 77, 59, 69, 58, 60
 1297, 17, 69, 50, 30, 79, 65, 78, 54, 51
 1418, 17, 71, 49, 48, 75, 63, 67, 53, 52
 1672, 14, 36, 53, 36, 77, 40, 69, 49, 52
 1441, 16, 44, 80, 69, 81, 59, 79, 68, 78
  206, 17, 67, 50, 33, 80, 68, 75, 48, 49
 1511, 14, 42, 69, 56, 71, 52, 60, 63, 71
 1059, 13, 27, 53, 44, 79, 40, 79, 44, 55
 1403, 16, 48, 75, 48, 84, 57, 82, 62, 73
 1706, 16, 77, 50, 57, 79, 72, 70, 54, 62
 1404, 16, 49, 72, 48, 81, 57, 73, 64, 73
 1552, 15, 30, 51, 78, 84, 70, 80, 71, 64
  990, 11, 58, 35, 27, 81, 47, 73, 41, 40
  793, 15, 39, 60, 38, 75, 40, 63, 46, 54
 1360, 17, 77, 52, 31, 83, 73, 79, 53, 57
  112, 17, 33, 50, 77, 77, 60, 62, 68, 65
  346, 16, 43, 68, 59, 83, 53, 84, 65, 69
  344, 16, 41, 70, 58, 82, 61, 80, 63, 70
 1285, 16, 33, 65, 78, 77, 60, 64, 73, 67
 1472, 17, 79, 53, 57, 79, 75, 76, 55, 63
 1333, 17, 43, 80, 65, 79, 63, 74, 64, 79
  764, 10, 59, 37, 24, 81, 45, 81, 36, 38
  120, 16, 69, 48, 33, 82, 63, 81, 54, 55
  719, 16, 63, 47, 29, 72, 57, 74, 45, 45
 1276, 14, 45, 73, 65, 85, 57, 83, 69, 73
 1470, 18, 72, 51, 33, 73, 66, 58, 54, 55
   75, 70, 31, 32, 14, 66, 32, 58, 43, 31
  939, 13, 60, 41, 26, 78, 55, 76, 52, 44
 1522, 15, 81, 50, 30, 77, 73, 74, 53, 61
 1119, 73, 32, 28, 15, 80, 28, 77, 39, 29
 1684, 17, 75, 51, 33, 78, 70, 71, 54, 59
  947, 15, 27, 50, 62, 85, 44, 89, 52, 55
  382, 15, 69, 51, 30, 80, 62, 81, 53, 55
  715, 13, 70, 41, 30, 91, 57, 84, 52, 47
  107, 16, 51, 74, 54, 80, 57, 72, 68, 75
  395, 18, 33, 73, 82, 82, 52, 83, 62, 63
  890, 12, 57, 42, 25, 80, 49, 79, 40, 42
 1595, 15, 72, 49, 32, 81, 68, 77, 54, 56
 1162, 14, 71, 46, 32, 74, 65, 67, 48, 52
 1180, 16, 73, 48, 29, 78, 67, 77, 52, 55
 1471, 17, 73, 52, 52, 75, 65, 69, 54, 55
 1588, 15, 76, 55, 31, 71, 71, 58, 58, 58
 1547, 17, 49, 72, 50, 83, 57, 81, 65, 74
  833, 13, 59, 41, 27, 67, 53, 60, 47, 43
  886, 15, 55, 62, 40, 78, 50, 77, 54, 66
 1502, 78, 30, 32, 17, 82, 33, 79, 44, 30
 1181, 16, 77, 48, 32, 80, 69, 80, 51, 60
  841, 12, 27, 44, 67, 85, 58, 88, 53, 57
 1536, 17, 34, 62, 71, 81, 54, 77, 65, 64
 1366, 17, 61, 72, 45, 79, 56, 72, 67, 73
  917, 11, 47, 56, 37, 82, 42, 76, 45, 58
  366, 15, 75, 54, 35, 82, 65, 80, 59, 54
  924, 59, 25, 27, 14, 60, 25, 49, 33, 27
 1348, 15, 47, 75, 48, 75, 58, 67, 64, 76
 1112, 15, 47, 69, 46, 80, 54, 74, 59, 71
 1213, 15, 29, 50, 77, 86, 72, 84, 71, 65
 1153, 15, 43, 63, 40, 81, 49, 78, 55, 62
 1361, 15, 76, 49, 34, 81, 69, 82, 54, 60
   17, 82, 37, 34, 16, 83, 36, 83, 52, 35
  827, 12, 30, 66, 53, 89, 47, 84, 51, 61
  918, 15, 47, 55, 34, 75, 48, 73, 51, 56
  731, 12, 34, 62, 50, 90, 42, 85, 50, 57
  895, 13, 25, 50, 58, 80, 42, 77, 51, 46
  770, 12, 29, 59, 49, 87, 40, 86, 47, 54
  795, 14, 27, 46, 52, 85, 43, 86, 49, 50
  925, 15, 66, 39, 26, 70, 58, 65, 43, 48
  846, 14, 33, 60, 43, 81, 40, 87, 46, 54
  760, 13, 45, 54, 34, 84, 42, 83, 50, 53
 1396, 14, 69, 47, 31, 83, 63, 77, 55, 54
  156, 13, 57, 44, 29, 74, 53, 67, 49, 44
 1243, 17, 52, 77, 49, 85, 57, 84, 66, 77
 1120, 14, 71, 48, 47, 83, 64, 81, 49, 53
 1685, 18, 75, 50, 31, 82, 68, 79, 56, 60
  178, 15, 44, 71, 62, 76, 51, 64, 67, 72
  885, 12, 54, 63, 37, 68, 47, 60, 52, 59
  327, 13, 38, 68, 59, 80, 50, 75, 56, 62
 1654, 16, 32, 49, 71, 79, 65, 74, 64, 65
 1075, 14, 53, 39, 29, 82, 51, 68, 42, 46
 1558, 17, 81, 51, 31, 70, 73, 54, 58, 58
 1687, 16, 73, 49, 31, 81, 64, 82, 55, 57
  288, 14, 64, 44, 43, 80, 53, 79, 50, 46
  280, 15, 57, 43, 29, 81, 54, 80, 46, 45
 1251, 15, 75, 50, 30, 75, 68, 70, 52, 57
 1004, 14, 24, 36, 66, 74, 50, 73, 48, 52
 1721, 15, 82, 53, 54, 79, 74, 72, 58, 63
 1419, 15, 49, 73, 51, 86, 57, 82, 64, 76
  859, 13, 60, 46, 30, 77, 58, 76, 45, 46
  323, 14, 57, 45, 30, 81, 52, 80, 48, 47
  300, 15, 49, 72, 52, 83, 51, 82, 60, 63
  368, 15, 33, 48, 69, 79, 63, 74, 64, 69
  380, 17, 52, 73, 50, 87, 49, 86, 58, 68
 1635, 17, 51, 80, 49, 77, 59, 68, 64, 70
 1686, 17, 74, 49, 51, 82, 66, 79, 56, 53
 1322, 80, 32, 31, 17, 79, 30, 76, 43, 33
  125, 17, 31, 67, 76, 84, 58, 79, 68, 65
   93, 14, 75, 47, 30, 74, 66, 66, 52, 55
  988, 53, 25, 29, 13, 72, 25, 67, 35, 25
 1055, 14, 59, 37, 24, 76, 46, 69, 39, 39
 1052, 13, 52, 35, 24, 74, 45, 71, 34, 38
 1236, 16, 75, 53, 33, 80, 70, 82, 56, 60
  887, 15, 35, 63, 55, 85, 40, 81, 55, 59
  160, 13, 58, 46, 30, 83, 54, 81, 48, 50
 1077, 11, 43, 59, 42, 89, 43, 87, 49, 62
  328, 14, 50, 66, 51, 87, 61, 85, 61, 64
  164, 57, 30, 30, 15, 78, 30, 74, 39, 28
    3, 16, 51, 71, 49, 82, 55, 81, 65, 68
   67, 15, 52, 79, 54, 76, 52, 69, 66, 68
   11, 16, 54, 73, 51, 81, 58, 76, 67, 75
   92, 15, 65, 47, 45, 82, 62, 79, 55, 51
 1208, 15, 42, 69, 57, 86, 53, 85, 65, 69
 1198, 17, 71, 48, 31, 80, 63, 81, 54, 52
    1, 15, 72, 48, 31, 74, 63, 68, 55, 52
 1114, 16, 31, 45, 67, 75, 60, 64, 60, 59
  777, 15, 65, 39, 26, 75, 63, 76, 48, 46
  119, 17, 46, 84, 75, 79, 64, 71, 69, 75
   41, 17, 34, 71, 83, 83, 55, 81, 64, 65
  742, 12, 25, 49, 60, 90, 45, 76, 53, 57
   46, 15, 48, 82, 68, 82, 57, 78, 71, 78
  998, 12, 22, 48, 57, 87, 39, 74, 46, 50
   84, 16, 32, 49, 67, 81, 57, 71, 58, 58
 1205, 16, 51, 71, 50, 82, 53, 80, 65, 69
 1092, 14, 66, 42, 30, 83, 58, 82, 45, 48
   63, 18, 77, 54, 36, 80, 70, 79, 59, 59
   91, 76, 30, 32, 14, 77, 31, 68, 44, 31
   90, 15, 29, 52, 63, 84, 48, 80, 59, 57
 1080, 15, 36, 60, 40, 78, 48, 82, 46, 60
 1016, 14, 47, 53, 36, 77, 41, 67, 46, 58
  739, 13, 61, 41, 28, 75, 52, 67, 45, 44
 1067, 61, 25, 27, 13, 61, 28, 54, 37, 27
  881, 11, 40, 49, 30, 76, 38, 84, 46, 53
 1429, 79, 30, 33, 17, 79, 31, 80, 43, 30
 1145, 16, 64, 42, 28, 82, 56, 80, 45, 48
